,character,line #,line
276,CLARICE,276,"Well, she's not local. Her ears are
pierced three times each, and she's
wearing green glitter nail polish.
Looks like town to me..."
277,CLARICE (O.S.),277,"She waxed her legs, I think... A big
girl, just like the others - but she
was careful about her appearance..."
278,CLARICE,278,"Two of the fingernails are broken
off, and there's - dirt or grit under
the others. She tried to claw her
way through something... I'll scrape
out samples after I've printed her."
279,LAMAR,279,"Them fishhooks are set too close
together. No wonder the Franklin
boys was scared to say they found
her."
280,CLARICE,280,Think they were runnin' a trotline?
281,CLARICE,281,"It's a Fish and Game violation. Like
poaching. There's a big fine."
282,LAMAR,282,Right... Are you from around here?
283,CLARICE,283,They do it lots of places.
284,CRAWFORD,284,"Get photos of her teeth. Then we'll
fax her fingerprints to Washington,
try to trace her through Missing
Persons."
285,CLARICE,285,She's got something in her throat.
286,LAMAR,286,"When a body comes out of the water,
alots of times there's like, leaves
and things in the mouth."
287,CRAWFORD,287,What is it - some kind of seed pod?
288,LAMAR,288,"Nawsir, that's a bug cocoon. But how
come that to get way down in there?
'Less somebody shoved it in..."
289,CRAWFORD,289,"She'll be easier to print if we turn
her over. Lamar, will you give me a
hand?"
290,LAMAR,290,"Yessir, I will. Clarice takes a jar
from her kit, carefully drops the
cocoon inside."
291,CRAWFORD (O.S.),291,Starling - what do you make of these?
292,CLARICE,292,"I don't know. I didn't see those on
any of the other girls..."
293,CRAWFORD,293,They weren't there. Get close-ups.
294,CLARICE,294,"Thanks, I'm not thirsty."
295,LAMAR,295,"No, hold it under your chin, there,
and on your temples. Cold'll make
you feel better. It does me."
296,CRAWFORD,296,"When I told that sheriff we shouldn't
talk in front of a woman, that really
burned you, didn't it?"
297,CRAWFORD,297,"That was just smoke, Starling, I had
to get rid of him. You did well in
there."
298,CLARICE,298,"It matters, Mr. Crawford... Other
cops know who you are. They look at
you to see how to act... It matters."
299,CRAWFORD,299,Point taken.
300,CRAWFORD,300,"When we get back, I want you to run
that bug by the Smithsonian, see if
they can identify it. Maybe it's got
some limited range, or it only breeds
at certain times of year... You found
it, Starling, you deserve the credit."
301,CLARICE,301,"I'm wondering if he's done that before -
placed a cocoon, or an insect. It
would be easy to miss in an autopsy,
especially with a floater... Can we
check back on that?"
302,CRAWFORD,302,"The other girls are in the ground.
Exhumations are upsetting for the
families. I'll do it if I have to,
but -"
303,CLARICE,303,"Then have the lab check Raspail's
head."
304,CLARICE,304,"Dr. Lecter's patient - have them
probe his soft-palette tissues...
They'll find another cocoon."
305,CRAWFORD,305,You seem pretty sure of that.
306,CLARICE,306,"Raspail was killed by the same man
who's killing these girls. And Lecter
knows him. Maybe even treated him...
You think so, too, don't you? Or
you'd never have sent me to that
asylum."
307,CRAWFORD,307,"Before we caught him, Lecter had a
big psychiatric practice in Baltimore.
But he traveled all over the country -
teaching, consulting... Christ, even
testifying in murder trials. Who
knows how many potential psychos he
turned loose, just for the fun of
it...?"
308,MR. GUMB,308,"Rub the cream on your skin. Rub it
in gooood..."
309,CATHERINE,309,"Mister... my family will pay cash.
Whatever ransom you're askin' for,
they -"
310,MR. GUMB,310,"Rub it in! Or you'll get the hose
again."
311,MR. GUMB,311,"Yes, it will, Precious, won't it? It
will get the hose!"
312,CATHERINE,312,Oh God... oh God...
313,CATHERINE,313,"Mister, if you let me go, I won't
press charges, I promise. You've
only had me here a couple days, and -"
314,MR. GUMB (O.S.),314,No. Just one day...
315,CATHERINE,315,"Is that all...? See - see, my mom is
a real important woman... Well, I
guess you already know that. She'll
pay you, no questions asked. Whatever
cause you represent - Iran, Palestine -
she'll see that -"
316,MR. GUMB,316,"Put the bottle in the basket. No
funny business, or you'll be sorry..."
317,ARDELIA,317,You better come see this.
318,TV ANCHOR (V.O.),318,"...was listed at first simply as a
missing person, but is now believed
to have been kidnapped by the serial
killer known only as ""Buffalo Bill."""
